balance,value,gas,gasUsed,gasPrice,gasPrice
5310158900000000, 846015831800000000, 248758, 182937, 80300000000, 80300000000
550909403940000, 13100000000000000000, 234477, 171196, 78238100905, 78238100905
1872301483673403187, 65000000000000000, 183072, 129044, 77738100905, 77738100905
3579664091064194226, 4000000000000000000, 170568, 118787, 77738100905, 77738100905
29929532355379094, 3190299511003828, 171484, 118912, 88140132759, 88140132759
14172795499029057, 70000000000000000, 181741, 127963, 81051276417, 81051276417
8054652377532065625, 3000000000000000000, 189463, 134297, 117122500000, 117122500000
5838391987178725, 70000000000000000, 277344, 188608, 90988747955, 90988747955
7362679869201920867, 10000000000000000000, 160953, 110910, 95166048773, 95166048773
0, 50000000000000000, 160917, 110861, 94666048773, 94666048773
206750321106000, 200000000000000000, 162921, 112515, 92978187059, 92978187059
12206427036103911, 453734882290447728, 176550, 123694, 92978187059, 92978187059
0, 900000000000000000, 184345, 130099, 92478187059, 92478187059
23762121191689351, 63099247407462143, 200048, 142715, 94261696422, 94261696422
0, 50000000000000000, 160900, 110867, 95080957133, 95080957133
3056137025790811, 900000000000000000, 170510, 118749, 85657730756, 85657730756
16538548522360638, 304271419022388102, 192230, 140949, 95505831738, 95505831738
602460604877635120, 140499033060382170, 199376, 142155, 95473956491, 95473956491
6488831002495383, 112000000000000000, 184482, 130211, 79200000000, 79200000000
27837694680613726, 155495410498048458, 198626, 141802, 74448397724, 74448397724
7268296725896332, 30000000000000000, 182125, 128277, 74358397724, 74358397724
763664006009899, 500000000000000000, 307024, 212945, 93178726208, 93178726208
1270251883677000, 970000000000000000, 187018, 132292, 82295945145, 82295945145
3035665436233634652, 90000000000000000, 180094, 126612, 82295945145, 82295945145
14417823130794722, 110000000000000000, 177081, 128017, 82205945145, 82205945145
23137866070714859397, 27000000000000000000, 180858, 127238, 90244655839, 90244655839
220539228583948025, 342375950383724486, 200307, 142931, 89744655839, 89744655839
182316911656135583, 1010000000000000000, 159903, 110049, 89038077269, 89038077269
87839059421296612, 500000000000000000, 287359, 192949, 98169121422, 98169121422
1282151354132710813, 6108299768376997, 214452, 154718, 88059150519, 88059150519
361322070519244177, 435000000000000000, 184279, 130034, 98306710426, 98306710426
2281737691200845279, 128742352114389458, 179503, 125594, 103519650794, 103519650794
7681445050930570, 200000000000000000, 202334, 144855, 103519650794, 103519650794
1872301483673403187, 65000000000000000, 182238, 128370, 103519650794, 103519650794
9659824288673552045, 2000000000000000000, 168588, 117173, 112017371282, 112017371282
802459458364775931, 1000000000000000000, 333303, 252291, 104031542371, 104031542371
96312927754088164, 290113015512959129, 199034, 142784, 104031542371, 104031542371
4183008401623726, 169406565590797758, 185908, 131371, 104000000000, 104000000000
172073979172872380, 450000000000000000, 161026, 110971, 92273769658, 92273769658
21765447507978367, 299000000000000000, 189710, 134525, 92273769658, 92273769658
86094610136172770, 3549000000000000000, 184526, 130247, 92019645658, 92019645658
18229143251045180, 166398808796378700, 300584, 222651, 95907337505, 95907337505
98733331752212921, 200000000000000000, 170527, 118763, 89610243168, 89610243168
139825823622999302, 220000000000000000, 168621, 118242, 89110243168, 89110243168
26992128438312119527, 110000000000000000, 181563, 127816, 89110243168, 89110243168
46760893247601208, 6400000000000000, 181021, 127371, 89110243168, 89110243168
8728115063895927, 59488188782937904, 199431, 142201, 89038077269, 89038077269
5544155362660785613, 34760884903925659, 200104, 142762, 101200000000, 101200000000
963209568551041064, 10000000000000000000, 182250, 128380, 91971744011, 91971744011
25610241306622491, 113000000000000000, 182114, 128257, 91381744011, 91381744011
76831396836987558, 40972100000000000, 182790, 128823, 83690778490, 83690778490
34243610447442036, 100000000000000000, 182701, 128740, 83690778490, 83690778490
4489677184534444150, 2800000000000000000, 185671, 131186, 83000000000, 83000000000
367370774268019630, 30000000000000000, 152992, 104358, 76176306441, 76176306441
618783449644924, 100000000000000000, 320608, 224106, 73852725804, 73852725804
8054652377532065625, 2000000000000000000, 185496, 131032, 94300000000, 94300000000
73344398247121455, 63000000000000000, 187455, 132650, 82888123380, 82888123380
382485799393265306, 391201900549350785, 180900, 149248, 82888123380, 82888123380
1122020552559352632, 2000000000000000000, 198592, 141776, 90188268699, 90188268699
150389371188000, 220961490000000000, 189708, 134511, 89688268699, 89688268699
11999919935257928, 212700000000000000, 187472, 132664, 81045938384, 81045938384
0, 130000000000000000, 269985, 182359, 89562862108, 89562862108
38270805207090916, 860076565250793354, 215330, 154518, 71700865142, 71700865142
207727016816552683, 358616243819456492, 214212, 125722, 78915331581, 78915331581
1687880828214208104, 1000000000000000000, 299455, 206762, 78915331581, 78915331581
79810551490204884, 250000000000000000, 302463, 209191, 89106959808, 89106959808
963209568551041064, 8000000000000000000, 161438, 107380, 79367311828, 79367311828
1866664153477097231, 6000000000000000000, 185427, 130976, 82790618211, 82790618211
14172795499029057, 40000000000000000, 187311, 132532, 89359380779, 89359380779
45781815419529253, 170000000000000000, 160771, 109774, 89359380779, 89359380779
