pubkey,balance,txn_count,total_transacted,total_fee,avg_txn,avg_fee_percent
43wgbe8LNWfHp3hXFYb9C9VsxW2tWF2xUNhCTp7CXdQg,7969980000,8,870011970000000,40000,108751496250000,4.597637892269459e-09
9qiAyo4ujvbXYJdqT2cmh2isVRgHdrejjcGv3Wjij7UD,20534405720,72,6182180239995134,360000,85863614444376,5.8231883579033815e-09
3X42tV7bxqWfZz7UhDSiCopMSkib6TVgQFSGdRDWirfV,4999905000,22,1200011000000000,110000,54545954545454,9.166582639659138e-09
BFGstFrtjXToaGAYQcf1ZTRvWD5w3jKve7XkGWgBjctU,23547256600,603,864262765896355,4650000,1433271585234,5.380308146420416e-07
82ApfqQmCyBMQvEZUKrxLS8oUqo7DfSomUpcufre4Z8g,302000299838,59,28879088529838,400000,489476076776,1.3850852653701942e-06
EAHyi2AgPojd4f6nKTgVDLpHeJDox7JC9yTGq9XsVzxC,146979190165,126,226673711641613,905000,1798997711441,3.9925229681281625e-07
HKjpGvdd7eQdxpE5Y4Ei3usB8FgVPcy7FeAsBrjKDZm8,1000257594402,13,110734257639402,65000,8518019818415,5.8699088597918576e-08
3bKLAYDFnHSQRVTGFQkC4N4gBddgX77g6YbHMCpLCCGK,10099960000,21,35401000005000,175000,1685761905000,4.943363181132826e-07
13AMgNUoQtFv921xPPmRfCwvjonVwcnAtKmANcLAfm4w,5700824120,63,24131565429158,385000,383040721097,1.5954207410631022e-06
BCCMCYUDHtaupRumkNSiHNGNbUfyoFRNHN2wMUXAQKj8,196601880000,28,18606601920000,140000,664521497142,7.524211062392633e-07
HZi4NdZ8RePNC6oG9Nsdu2Ag8EaU1WV26PcuhQwPYT3e,975999990000,6,20688314000000,30000,3448052333333,1.4500939999267218e-07
BH4iA1fPi3Jq9YWhDsrhspC6G2YZfjMiwpg2jJUXQ6t6,5892685000,4,20785892695000,20000,5196473173750,9.621910539743599e-08
5jbBNANspgFW4yzdN6x8WRm3iGg745KnwDwTy3dk5DjZ,12725000000,15,94834705045000,75000,6322313669666,7.908497207263076e-08
8JzDmRZpLTTEyTqjyx7SQtqGrxfLTAuUFkQ3UoeFpk3i,1201386030510,21,49121386110512,105000,2339113624310,2.137561830274369e-07
Fprub1DAHcL7jYrgqKRjxLMfXDDgh293jSTUdJVLDc6a,24999965000,10,43035002039280,65000,4303500203928,1.5103984412658224e-07
5oAi1QYoSoqrY5UYW2gjdfUXL267L97awDShkePpWL5M,13047253960,53,54349989440600,270000,1025471498879,4.967802253118879e-07
D9rN7bTbz2mQVDyVg9H77Upt14dr3mKgzVZdbX9Ho2b4,22573778000,11,41648573828000,75000,3786233984363,1.8007819501751608e-07
CMmVArBYds2Kfna1AhSwopdoyTbkhTyayFQ6knkaAMxR,722379752843,53,105013940061851,265000,1981395095506,2.5234745010416766e-07
2zHLX9po9nt72a1xmyjSUF8iJwux6aM5Tv7bty8AKupB,6424724063,35,22060424794063,175000,630297851258,7.93275748919834e-07
Gm8my4ikVyBF1rktCWWV27AZDw2nnLFH2FPs6AoZWXwB,1804475294600,50,25951310119600,250000,519026202392,9.63342501198754e-07
E71rqEPe5TsmTET4vMKxJri7zo8ZQV4485tci4FJBGRj,10000004999,3,8588119989999,15000,2862706663333,1.7465987919903e-07
3e8Akxm1CsRdoWyvDDPYDAgnJw4b2yJrCAGzecYRme43,49969140317,35,42130100556797,210000,1203717158765,4.984559666950995e-07
Daoq6wofPwGV9vjCnAqCAqNxwyU4GREs22G8hm1kqQR8,5246728590,12,10136191010690,60000,844682584224,5.919383320294753e-07
ALCouyAhfJarqUFusQDvTDqX1bpChT14kxmR7cvdGhFm,18721573960,147,14426989328367,1000000,98142784546,6.931453106669696e-06
FLXhEmEW3sGi5syeF2xkiF9ZJ6hzVqKxwFdjsaFgJqzv,7648839608,19,19355648924608,95000,1018718364453,4.908127873678303e-07
EyQ7HuYMqmnXkRJVjKU8zZjZovLMp3P4de5PceQTbYY4,26127549400,16,8987807373439,80000,561737960839,8.900947325197251e-07
L5ufLMsfMZXWpZGpcy7U75E14bDJBkShw9VFkGTWUts,22839171760,58,7482184467968,380000,129003180482,5.078730705274897e-06
AWHkexERUFjDntGY4Du9ajjKRQ8RoHeUi4Gs7S7pJDnS,3070832112299,84,10096853623861,420000,120200638379,4.159711684909953e-06
kjLLyoSSsqjnytLaER63ALW3zSq8gu2Mh7A5oq8MbY7,129128345000,63,5210193645000,315000,82701486428,6.0458405476405284e-06
7qaCetyC7YirY45zm8CYZLiEKXt6rZXqoQaNscc9Ns2J,25647578374,62,33588617374262,350000,541751893133,1.0420196702356527e-06
EEd6hsswCbYpebQrdJLfeEtMq7XcEiNauaCL9m5dZxqr,57836428797,19,4037204513120,110000,212484448058,2.724657610049848e-06
BcmDuEB5QgSZHsmBFVu6S7QNA9dqkPNM4ePKTHrnF1kq,17377253241,21,4158377268241,105000,198017965154,2.525023422043069e-06
3BM5eXZ57wRNUpt1RABqAxqzKQngLJPkMXDdgQWxy5n5,298883813160,5,4318883823160,25000,863776764632,5.788532644924966e-07
2aopDvNGiZfDusGZLhC636a92hCwrBfpkNJLGkickux6,53470798235,37,9536910828235,185000,257754346709,1.9398314960887394e-06
5ty5ySSmvwW3fFJgqH7iEvBg4TaodCp1aT6vuyNX7uwf,124529373830,33,21004747481170,165000,636507499429,7.855366990149087e-07
HYSzFvHhvQkkhGWetAjtxnX8Vsz9Hp5txU39ZCFyNzWA,18766618120,76,4721964439087,475000,62131111040,1.0059372664226206e-05
FjQAs9rjwY6kNNLx4yMdhsV8ex3juPza22kU69nT3ZYR,8035982954,52,14231957370830,260000,273691487900,1.8268744995885055e-06
GrLi4sXEP8kpK2NuSZgxrAKpwBEXideupXTAFk4jp4Kc,18225872160,73,24144617183056,960000,330748180589,3.976041503253572e-06
GMB1d7Eue8g6jz4h3BvmYq6HwoWRCA1uu5gVdnmGHokr,404508419169,9,3897046383607,45000,433005153734,1.1547206671517526e-06
9xcdiyHfTx5AgqbRM1QZWserfGzUr5JRcquhP4XXtC2X,58401709877,463,8846540952012,4865000,19106999896,5.49932456808843e-05
7EH5U2YCu1X6BFMoijcLytZNzq4mxaF3bGhhV9Sf1Hds,195002685211,24,4003352734249,120000,166806363927,2.99748755520318e-06
9dcZjgkq77hggZc2D2avd4oe7azps5zXTB4b6qsPLL5L,36713773673,25,12623680960,135000,504947238,0.001069418661860732
EaykpH5pHcdVKDjYWmDfK9erx1BFibnsjEDj1hN1J3K6,57979419877,38,13962034557438,210000,367421962037,1.504078786913807e-06
EiRGFBgau1E4SFakB5HbZTDhUhT5yPE7GSLVPwE44SbY,26511904520,89,10437233740920,680000,117272289223,6.515136260041837e-06
EHDXpyDZBfgKo8Jo3WgiNGiCh35Du3eM5CAzAEKQhz4x,50009996596,20,10542020553458,100000,527101027672,9.48584756526565e-07
ELGyyDAM17pXp8L7Ychb69WkaHC1E6aTfMDJpe91VyNm,55510526479,36,5602573847479,180000,155627051318,3.2128090570549984e-06
GY9iuvYjaEvs5RTX36tQbHacmfJRM4c3HL1mRfp572Z8,10330629073,54,31918415484833,290000,591081768237,9.085664046757029e-07
24k9eaL9NDB83BhjbGjJp1zY1CeJQQjJA9cpnEUoyFNp,110777012796,7,5111966040332,35000,730280862904,6.846680851136269e-07
A8PyvTBzzyhurr6y91PvEM5fwpZoSSrRk74BHW5bQYnX,250749952500,11,4108229997498,55000,373475454318,1.3387760673938941e-06
14sRmQQVuFwf4UbNKRPd9V81NswL1ps17kzweNms3GKJ,14164950000,13,7214165000000,65000,554935769230,9.010051752351104e-07
9WG5GfpqCuF6cVXZgqDiPagDtCti7BEdNyN4MMpqdYqu,31127622840,12,5903549917160,60000,491962493096,1.0163376416212974e-06
5AMQozqaN4jHFr1tdz27kSgEwAb4xAmhmh4LruDXea6M,60339785000,48,42829540000000,245000,892282083333,5.720350954037797e-07
E39D6ytszm3vZSrdN5G62gPxAAbmbgjfiiCjR4RMpUhn,50818660000,10,5850818690000,50000,585081869000,8.545812586101518e-07
bankMMf8CTz7UeYXDHMEeBZDruSmMLWTWCdWDeWkECi,36692013800,152,5168180171130,1030000,34001185336,1.992964575332897e-05
xjHAxHA3tcm84DjiaxNRzEqz7ExXw1LPL1zHRCcBuib,25815909880,98,2354668179802,580000,24027226324,2.463192075109161e-05
